sample_id,fov_id,annotator,country,tags
KTR-72502948,1,E. Chu,Tanzania,Monolayer
KTR-72502948,2,E. Chu,Tanzania,Monolayer
KTR-72502948,3,E. Chu,Tanzania,Monolayer
KTR-72502948,4,E. Chu,Tanzania,Monolayer
KTR-72502948,5,E. Chu,Tanzania,Monolayer
KTR-72502948,6,E. Chu,Tanzania,Monolayer
KTR-72502948,7,E. Chu,Tanzania,Monolayer
KTR-72502948,8,E. Chu,Tanzania,Monolayer
KTR-72502948,9,E. Chu,Tanzania,Monolayer
KTR-72502948,10,E. Chu,Tanzania,Monolayer
KTR-72502948,11,E. Chu,Tanzania,Monolayer
KTR-72502948,12,E. Chu,Tanzania,"Monolayer, Slight Rouleaux"
KTR-72502948,13,E. Chu,Tanzania,Monolayer
KTR-72502948,14,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,15,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,16,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,17,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,18,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,19,E. Chu,Tanzania,Monolayer
KTR-72502948,20,E. Chu,Tanzania,Monolayer
KTR-72502948,21,E. Chu,Tanzania,Monolayer
KTR-72502948,22,E. Chu,Tanzania,Monolayer
KTR-72502948,23,E. Chu,Tanzania,Monolayer
KTR-72502948,24,E. Chu,Tanzania,Monolayer
KTR-72502948,25,E. Chu,Tanzania,Monolayer
KTR-72502948,26,E. Chu,Tanzania,Monolayer
KTR-72502948,27,E. Chu,Tanzania,Monolayer
KTR-72502948,28,E. Chu,Tanzania,Monolayer
KTR-72502948,29,E. Chu,Tanzania,Monolayer
KTR-72502948,30,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,31,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,32,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,33,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,34,E. Chu,Tanzania,Slightly Dense
KTR-72502948,35,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,36,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,37,E. Chu,Tanzania,Monolayer
KTR-72502948,38,E. Chu,Tanzania,Monolayer
KTR-72502948,39,E. Chu,Tanzania,Monolayer
KTR-72502948,40,E. Chu,Tanzania,Monolayer
KTR-72502948,41,E. Chu,Tanzania,Monolayer
KTR-72502948,42,E. Chu,Tanzania,Monolayer
KTR-72502948,43,E. Chu,Tanzania,Monolayer
KTR-72502948,44,E. Chu,Tanzania,Monolayer
KTR-72502948,45,E. Chu,Tanzania,Monolayer
KTR-72502948,46,E. Chu,Tanzania,Monolayer
KTR-72502948,47,E. Chu,Tanzania,Monolayer
KTR-72502948,48,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,49,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,50,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,51,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,52,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,53,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,54,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,55,E. Chu,Tanzania,Monolayer
KTR-72502948,56,E. Chu,Tanzania,Monolayer
KTR-72502948,57,E. Chu,Tanzania,Monolayer
KTR-72502948,58,E. Chu,Tanzania,Monolayer
KTR-72502948,59,E. Chu,Tanzania,Monolayer
KTR-72502948,60,E. Chu,Tanzania,Monolayer
KTR-72502948,61,E. Chu,Tanzania,Monolayer
KTR-72502948,62,E. Chu,Tanzania,Monolayer
KTR-72502948,63,E. Chu,Tanzania,Monolayer
KTR-72502948,64,E. Chu,Tanzania,Monolayer
KTR-72502948,65,E. Chu,Tanzania,Monolayer
KTR-72502948,66,E. Chu,Tanzania,Monolayer
KTR-72502948,67,E. Chu,Tanzania,Monolayer
KTR-72502948,68,E. Chu,Tanzania,Monolayer
KTR-72502948,69,E. Chu,Tanzania,Monolayer
