idx,density_label,crowding_label,crenation_flag,coverage_fraction,rouleaux_fraction,crenation_fraction,n_cells,n_isolated
1,slightly dense,heavy rouleaux,flagged,0.5522487244897959,0.16490924805531548,0.05929487179487179,5785,1248
2,dense,heavy rouleaux,normal,0.607234693877551,0.15874749681412706,0.03742384682332463,5493,1149
3,dense,rouleaux,normal,0.6102806122448979,0.14538558786346398,0.04621072088724584,4746,1082
4,slightly dense,rouleaux,normal,0.5732566326530613,0.14252199413489736,0.04895738893925657,5115,1103
5,slightly dense,some rouleaux,normal,0.5713778061224489,0.13710764490660504,0.031746031746031744,5193,1071
6,slightly dense,heavy rouleaux,normal,0.5493906887755102,0.15132326676408508,0.02408637873754153,6159,1204
7,slightly dense,some rouleaux,normal,0.5490558673469388,0.13610020564591513,0.029318541996830427,5349,1262
8,slightly dense,rouleaux,normal,0.5586390306122448,0.14108174339226326,0.036013400335008376,5713,1194
9,slightly dense,slight rouleaux,normal,0.5470039540816326,0.12713615023474178,0.02366412213740458,5325,1310
10,monolayer,rouleaux,normal,0.5090076530612245,0.14629566404916353,0.037833190025795355,5858,1163
11,slightly dense,some rouleaux,normal,0.5468218112244898,0.1333455277117249,0.02154828411811652,5467,1253
12,monolayer,rouleaux,normal,0.5288436224489796,0.1400607492406345,0.04468802698145025,5926,1186
13,monolayer,rouleaux,normal,0.5285880102040816,0.14292535413019258,0.0315031503150315,6283,1111
14,slightly dense,heavy rouleaux,normal,0.5799395408163265,0.14951528709917972,0.03189066059225513,5364,878
15,slightly dense,heavy rouleaux,normal,0.5708150510204082,0.1489061397318278,0.03582395087001024,5668,977
16,very dense,rouleaux,normal,0.6299257653061224,0.1458596048759983,0.035386631716906945,4758,763
17,dense,heavy rouleaux,normal,0.6292789540816327,0.1527235354573484,0.038303693570451436,4865,731
18,very dense,rouleaux,normal,0.663847193877551,0.14197671764437342,0.026438569206842923,4381,643
19,very dense,rouleaux,flagged,0.6317049744897959,0.1443089430894309,0.054613935969868174,4428,1062
20,very dense,some rouleaux,flagged,0.664456887755102,0.13924946896388954,0.05566037735849057,4237,1060
21,dense,some rouleaux,normal,0.5897766581632653,0.1369782480893592,0.04928909952606635,5103,1055
22,dense,some rouleaux,flagged,0.5885149234693877,0.1362614913176711,0.051643192488262914,4895,1065
23,monolayer,some rouleaux,normal,0.524652168367347,0.13659264788206754,0.04312938816449348,5359,997
24,slightly dense,slight rouleaux,normal,0.5592480867346938,0.12604418043437907,0.04,5387,1325
25,slightly dense,slight rouleaux,normal,0.5659860969387756,0.12748212867355044,0.028662420382165606,5036,1256
26,monolayer,some rouleaux,flagged,0.5259341836734693,0.137956610420916,0.05532617671345995,5393,1211
27,monolayer,no rouleaux,flagged,0.5368321428571429,0.1170361493908528,0.05238467552775606,5007,1279
28,monolayer,slight rouleaux,normal,0.52813125,0.1289004457652303,0.04961832061068702,5384,1048
29,monolayer,no rouleaux,normal,0.5422854591836734,0.1171223579600543,0.03646677471636953,5157,1234
30,monolayer,slight rouleaux,normal,0.5410727040816327,0.1271789398790466,0.01861427094105481,5622,967
31,monolayer,rouleaux,normal,0.5372130102040816,0.14467803343817248,0.01683816651075772,6041,1069
32,dense,rouleaux,normal,0.6082651785714286,0.1432902182700081,0.026467203682393557,4948,869
33,dense,some rouleaux,normal,0.5902571428571428,0.13657454105305628,0.028169014084507043,4957,852
34,very dense,some rouleaux,normal,0.6660775510204081,0.1376828975773567,0.026113671274961597,4169,651
35,very dense,heavy rouleaux,normal,0.6975602040816327,0.15029047739328114,0.040998217468805706,3959,561
36,very dense,rouleaux,normal,0.6988251275510204,0.1427839015637016,0.014336917562724014,3901,558
37,very dense,no rouleaux,flagged,0.6358952806122449,0.1180515759312321,0.05358948432760364,3490,989
38,very dense,no rouleaux,normal,0.6598303571428571,0.10856823890594473,0.02631578947368421,3583,1064
39,slightly dense,no rouleaux,normal,0.5496132653061224,0.10950514453699167,0.027111574556830033,4082,959
40,slightly dense,no rouleaux,normal,0.5650262755102041,0.11436289959477713,0.0302734375,4442,1024
41,monolayer,slight rouleaux,normal,0.4653469387755102,0.11868176304084109,0.04228855721393035,4946,1206
42,slightly dense,slight rouleaux,normal,0.5429367346938776,0.12192307692307693,0.03367875647668394,5200,1158
