idx,n_cells,coverage_fraction,rouleaux_fraction,n_isolated,crenation_fraction,median_area,area_cv
1,5785,0.5522487244897959,0.16490924805531548,1248,0.05929487179487179,266.0,7.986282793804988
2,5493,0.607234693877551,0.15874749681412706,1149,0.03742384682332463,278.0,10.25960589452335
3,4746,0.6102806122448979,0.14538558786346398,1082,0.04621072088724584,267.5,11.819903363229693
4,5115,0.5732566326530613,0.14252199413489736,1103,0.04895738893925657,294.0,9.098320553915029
5,5193,0.5713778061224489,0.13710764490660504,1071,0.031746031746031744,307.0,7.131869421551147
6,6159,0.5493906887755102,0.15132326676408508,1204,0.02408637873754153,304.0,8.305396605935615
7,5349,0.5490558673469388,0.13610020564591513,1262,0.029318541996830427,295.0,12.120971819954985
8,5713,0.5586390306122448,0.14108174339226326,1194,0.036013400335008376,304.0,9.60807023860359
9,5325,0.5470039540816326,0.12713615023474178,1310,0.02366412213740458,301.0,10.516031494589411
10,5858,0.5090076530612245,0.14629566404916353,1163,0.037833190025795355,322.0,4.523935353972859
11,5467,0.5468218112244898,0.1333455277117249,1253,0.02154828411811652,313.0,11.926535427121527
12,5926,0.5288436224489796,0.1400607492406345,1186,0.04468802698145025,315.0,7.302805701393072
13,6283,0.5285880102040816,0.14292535413019258,1111,0.0315031503150315,331.0,7.0004541990077
14,5364,0.5799395408163265,0.14951528709917972,878,0.03189066059225513,332.0,9.020797489343865
15,5668,0.5708150510204082,0.1489061397318278,977,0.03582395087001024,342.0,7.012613546691815
16,4758,0.6299257653061224,0.1458596048759983,763,0.035386631716906945,346.0,9.51406656422928
17,4865,0.6292789540816327,0.1527235354573484,731,0.038303693570451436,341.0,8.34872291669799
18,4381,0.663847193877551,0.14197671764437342,643,0.026438569206842923,348.0,8.1732598037334
19,4428,0.6317049744897959,0.1443089430894309,1062,0.054613935969868174,230.0,16.731932520819555
20,4237,0.664456887755102,0.13924946896388954,1060,0.05566037735849057,241.0,18.102842297957174
21,5103,0.5897766581632653,0.1369782480893592,1055,0.04928909952606635,267.0,13.402748999790047
22,4895,0.5885149234693877,0.1362614913176711,1065,0.051643192488262914,289.0,8.396024730471188
23,5359,0.524652168367347,0.13659264788206754,997,0.04312938816449348,310.0,5.702779932141764
24,5387,0.5592480867346938,0.12604418043437907,1325,0.04,282.0,20.012928460052553
25,5036,0.5659860969387756,0.12748212867355044,1256,0.028662420382165606,280.0,16.54631584705711
26,5393,0.5259341836734693,0.137956610420916,1211,0.05532617671345995,295.0,6.152674121962412
27,5007,0.5368321428571429,0.1170361493908528,1279,0.05238467552775606,287.0,26.037240885498022
28,5384,0.52813125,0.1289004457652303,1048,0.04961832061068702,335.0,4.405936986174591
29,5157,0.5422854591836734,0.1171223579600543,1234,0.03646677471636953,309.0,12.945321690452042
30,5622,0.5410727040816327,0.1271789398790466,967,0.01861427094105481,345.0,7.2656076969114585
31,6041,0.5372130102040816,0.14467803343817248,1069,0.01683816651075772,338.0,4.701702076982945
32,4948,0.6082651785714286,0.1432902182700081,869,0.026467203682393557,342.5,9.477162306998123
33,4957,0.5902571428571428,0.13657454105305628,852,0.028169014084507043,355.0,9.292382200935789
34,4169,0.6660775510204081,0.1376828975773567,651,0.026113671274961597,352.0,13.259447835992198
