filename,edge_density_masked,edge_density_masked_pct,edge_density_unmasked,edge_density_unmasked_pct
dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,0.2298,22.98,0.2388,23.88
dpc-015-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,0.1716,17.16,0.1811,18.11
dpc-020-LB-D3-2025-08-30-132634-250816974-D-thin-4.png,0.2177,21.77,0.2296,22.96
dpc-035-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,0.1698,16.98,0.1568,15.68
dpc-051-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,0.0829,8.29,0.1006,10.06
dpc-105-KIT-62500652.png,0.2212,22.12,0.1515,15.15
dpc-134-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,0.1731,17.31,0.1864,18.64
dpc-145-LB-D12-2026-03-04-114809-250817119ELWA-Negative-2.png,0.1926,19.26,0.206,20.6
dpc-146-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,0.2089,20.89,0.2184,21.84
dpc-168-KIT-62500666.png,0.2712,27.12,0.1868,18.68
dpc-174-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,0.1774,17.74,0.1816,18.16
dpc-198-KIT-62501056.png,0.2199,21.99,0.1357,13.57
dpc-235-KIT-62501048.png,0.3724,37.24,0.1285,12.85
