filename,lbp_entropy_original,time_original_s,lbp_entropy_ds2,time_ds2_s,abs_diff_ds2,lbp_entropy_ds4,time_ds4_s,abs_diff_ds4
dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,4.1195,6.3408,3.3442,1.9299,0.7753,2.2501,0.4967,1.8694
dpc-015-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,3.941,7.2874,3.3024,1.676,0.6386,2.2661,0.4859,1.6749
dpc-020-LB-D3-2025-08-30-132634-250816974-D-thin-4.png,3.989,7.1464,3.136,1.753,0.853,2.1059,0.4469,1.8831
dpc-035-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,4.074,7.0969,3.5969,1.7548,0.477,2.4699,0.4883,1.6041
dpc-051-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,3.5546,7.0136,3.03,1.785,0.5246,2.1285,0.406,1.4261
dpc-105-KIT-62500652.png,4.0485,7.395,3.3055,1.929,0.7431,2.2803,0.4528,1.7682
dpc-134-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,3.9982,7.2382,3.2549,1.8316,0.7433,2.1716,0.4424,1.8266
dpc-145-LB-D12-2026-03-04-114809-250817119ELWA-Negative-2.png,3.9732,7.7778,3.1121,1.7272,0.8611,2.0184,0.3939,1.9549
dpc-146-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,4.0725,7.613,3.3693,1.9475,0.7031,2.3065,0.465,1.7659
dpc-168-KIT-62500666.png,3.8253,7.4377,2.8876,1.8352,0.9377,1.9015,0.4654,1.9238
dpc-174-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,3.9505,7.611,3.1914,1.8748,0.759,2.1131,0.4551,1.8374
dpc-198-KIT-62501056.png,3.8626,7.4312,3.0513,1.8184,0.8113,2.0228,0.4712,1.8398
dpc-235-KIT-62501048.png,3.6463,7.1247,3.206,1.8596,0.4403,2.4083,0.4644,1.238
