filename,otsu_threshold,coverage,coverage_pct
dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,132.0,0.5189,51.89
dpc-015-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,132.0,0.5273,52.73
dpc-020-LB-D3-2025-08-30-132634-250816974-D-thin-4.png,133.0,0.4948,49.48
dpc-035-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,136.0,0.391,39.1
dpc-051-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,127.0,0.7878,78.78
dpc-105-KIT-62500652.png,169.0,0.25,25.0
dpc-134-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,132.0,0.5397,53.97
dpc-145-LB-D12-2026-03-04-114809-250817119ELWA-Negative-2.png,132.0,0.5248,52.48
dpc-146-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,132.0,0.5294,52.94
dpc-168-KIT-62500666.png,170.0,0.2398,23.98
dpc-174-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,133.0,0.4961,49.61
dpc-198-KIT-62501056.png,167.0,0.245,24.5
dpc-235-KIT-62501048.png,170.0,0.1469,14.69
