slide,fov,coverage,edge_density,glcm_contrast,lbp_entropy,composite_score
250817118,IMG004x004.bmp,0.5167,0.2282,148.31,4.0748,0.5176
250817118,IMG001x013.bmp,0.5064,0.2385,164.98,4.0718,0.5268
250817118,IMG008x015.bmp,0.5091,0.2358,152.69,4.0664,0.52
250817118,IMG007x018.bmp,0.5122,0.2342,148.75,4.0576,0.5176
250817118,IMG007x007.bmp,0.5127,0.2395,168.64,4.0613,0.5294
250817118,IMG004x018.bmp,0.5139,0.2267,136.85,4.0949,0.5122
250817118,IMG003x017.bmp,0.5127,0.2357,152.77,4.0824,0.5218
250817118,IMG016x010.bmp,0.5114,0.2574,203.22,4.044,0.5491
250817118,IMG003x009.bmp,0.5129,0.2432,179.53,4.0663,0.5364
250817118,IMG017x015.bmp,0.5087,0.2598,209.87,4.0117,0.5471
250817118,IMG013x001.bmp,0.5181,0.2343,166.97,4.0381,0.5266
250817118,IMG001x017.bmp,0.5128,0.23,149.6,4.1032,0.5199
250817118,IMG001x016.bmp,0.5078,0.2259,147.16,4.1097,0.5169
250817118,IMG003x012.bmp,0.5098,0.2408,166.83,4.0578,0.5281
250817118,IMG007x004.bmp,0.5142,0.2368,158.54,4.0646,0.5241
250817118,IMG007x012.bmp,0.5153,0.2428,170.46,4.0254,0.5295
250817118,IMG015x007.bmp,0.5152,0.2546,194.06,4.009,0.5437
250817118,IMG018x003.bmp,0.519,0.2493,182.96,4.0016,0.5368
250817118,IMG001x014.bmp,0.5073,0.2398,168.79,4.0738,0.5294
250817118,IMG016x018.bmp,0.5075,0.2595,213.44,4.0214,0.5475
250817119,IMG006x012.bmp,0.5137,0.2298,135.41,4.0851,0.5117
250817119,IMG016x010.bmp,0.537,0.2447,162.96,4.028,0.5308
250817119,IMG012x017.bmp,0.5223,0.2054,113.96,4.0041,0.49
250817119,IMG007x005.bmp,0.5157,0.2321,143.25,4.028,0.513
250817119,IMG013x014.bmp,0.5225,0.2278,134.37,4.0132,0.5076
250817119,IMG017x014.bmp,0.5425,0.2254,144.85,3.9673,0.513
250817119,IMG008x017.bmp,0.5221,0.2165,125.82,4.0222,0.5004
250817119,IMG001x004.bmp,0.4832,0.2198,131.7,4.0467,0.4982
250817119,IMG005x010.bmp,0.5487,0.2031,110.33,4.0897,0.4985
250817119,IMG013x001.bmp,0.658,0.187,111.2,3.8132,0.4975
250817119,IMG010x013.bmp,0.5203,0.2261,128.97,4.0254,0.5047
250817119,IMG005x008.bmp,0.514,0.2153,122.93,4.0995,0.5022
250817119,IMG007x003.bmp,0.5238,0.1978,116.08,3.9275,0.484
250817119,IMG010x011.bmp,0.5503,0.2253,128.89,4.0549,0.5124
250817119,IMG003x017.bmp,0.5149,0.2253,127.75,4.1097,0.5084
250817119,IMG003x012.bmp,0.5197,0.2213,126.2,4.093,0.5063
250817119,IMG011x015.bmp,0.6426,0.1868,102.52,3.9068,0.4963
250817119,IMG003x014.bmp,0.5144,0.2332,139.96,4.1122,0.517
250817119,IMG011x004.bmp,0.4434,0.2041,121.15,3.9046,0.4708
250817119,IMG010x015.bmp,0.5477,0.2259,127.79,4.0515,0.5113
25071550,IMG018x004.bmp,0.5174,0.1577,109.76,4.0065,0.4728
25071550,IMG008x010.bmp,0.4913,0.1912,113.4,4.0992,0.4856
25071550,IMG002x005.bmp,0.5041,0.1679,101.45,4.0373,0.471
25071550,IMG014x002.bmp,0.4478,0.1567,110.14,3.9754,0.4567
25071550,IMG016x005.bmp,0.5067,0.1421,96.78,4.0287,0.4609
25071550,IMG004x010.bmp,0.505,0.1786,103.35,4.0928,0.4791
25071550,IMG011x014.bmp,0.4918,0.1813,114.48,4.1425,0.4861
25071550,IMG003x005.bmp,0.5128,0.1579,93.28,4.0555,0.467
25071550,IMG016x013.bmp,0.5268,0.1811,133.34,3.9932,0.4926
25071550,IMG009x007.bmp,0.5132,0.168,105.34,4.0987,0.479
25071550,IMG018x016.bmp,0.5208,0.1674,125.49,4.0193,0.4851
25071550,IMG018x011.bmp,0.5458,0.1633,118.76,4.0235,0.4858
25071550,IMG011x006.bmp,0.5194,0.1608,101.85,4.0537,0.4733
25071550,IMG017x008.bmp,0.5258,0.1486,103.02,4.0522,0.4714
25071550,IMG006x009.bmp,0.4903,0.1616,96.69,4.1175,0.4694
25071550,IMG002x018.bmp,0.5214,0.2004,115.25,4.1172,0.4965
25071550,IMG002x006.bmp,0.5341,0.1742,103.71,4.0347,0.4799
25071550,IMG007x009.bmp,0.4831,0.1516,93.88,4.1213,0.4638
25071550,IMG009x005.bmp,0.5263,0.1591,101.85,4.0915,0.4767
25071550,IMG007x012.bmp,0.5122,0.1817,108.95,4.1082,0.4853
25033489,IMG003x016.bmp,0.6006,0.1032,54.79,3.9716,0.4433
25033489,IMG011x015.bmp,0.6082,0.1699,98.38,3.8931,0.4813
25033489,IMG008x017.bmp,0.5669,0.1564,90.46,3.9066,0.466
25033489,IMG013x017.bmp,0.5674,0.1767,103.5,3.9656,0.4826
25033489,IMG011x007.bmp,0.567,0.1859,120.07,3.8795,0.4879
25033489,IMG005x012.bmp,0.7529,0.1587,94.01,3.7813,0.4973
25033489,IMG011x010.bmp,0.6094,0.1728,106.87,3.8452,0.4835
25033489,IMG011x002.bmp,0.5601,0.1798,119.78,3.9644,0.4901
25033489,IMG006x018.bmp,0.754,0.151,83.17,3.8208,0.4924
