slide,fov,coverage,edge_density,glcm_contrast,lbp_entropy,composite_score
250810915,IMG004x004.bmp,0.4971,0.2312,116.95,4.0085,0.4945
250810915,IMG001x013.bmp,0.4993,0.2437,125.58,4.0567,0.5062
250810915,IMG008x015.bmp,0.5356,0.2175,94.93,3.8702,0.4779
250810915,IMG007x018.bmp,0.5552,0.1617,75.81,4.0177,0.4653
250810915,IMG007x007.bmp,0.5363,0.2101,85.24,3.8808,0.4716
250810915,IMG004x018.bmp,0.5256,0.1042,56.73,4.151,0.4415
250810915,IMG003x017.bmp,0.5001,0.1444,66.36,4.1089,0.4504
250810915,IMG016x010.bmp,0.535,0.1932,77.88,3.7683,0.4551
250810915,IMG003x009.bmp,0.5091,0.2288,103.11,3.9943,0.4883
250810915,IMG017x015.bmp,0.5002,0.2101,92.69,3.9407,0.4721
250810915,IMG013x001.bmp,0.5154,0.1907,102.91,3.915,0.4727
250810915,IMG001x017.bmp,0.5015,0.2494,131.88,4.0551,0.5114
250810915,IMG001x016.bmp,0.4987,0.2521,135.39,4.0299,0.5117
250810915,IMG003x012.bmp,0.5004,0.1822,83.76,4.1444,0.4729
250810915,IMG007x004.bmp,0.4975,0.1799,81.18,4.1045,0.4677
250810915,IMG007x012.bmp,0.5004,0.2097,88.25,3.881,0.4659
250810915,IMG015x007.bmp,0.5003,0.1935,81.14,3.8175,0.4532
250810915,IMG018x003.bmp,0.5027,0.2271,102.66,3.9178,0.4812
250810915,IMG001x014.bmp,0.5016,0.2451,126.11,4.0499,0.5069
250810915,IMG016x018.bmp,0.528,0.1978,91.19,3.8847,0.4695
190968326,IMG005x014.bmp,0.6543,0.2113,136.12,3.8998,0.5223
190968326,IMG017x015.bmp,0.6282,0.1999,129.27,3.9101,0.5109
190968326,IMG016x003.bmp,0.5869,0.205,129.21,4.0046,0.5105
190968326,IMG017x008.bmp,0.5604,0.2046,129.29,3.933,0.5003
190968326,IMG013x016.bmp,0.529,0.2045,135.25,3.8916,0.4942
190968326,IMG010x017.bmp,0.6551,0.1844,102.72,4.0069,0.5048
190968326,IMG006x003.bmp,0.6219,0.2012,126.92,3.9468,0.5113
190968326,IMG011x010.bmp,0.6281,0.1998,127.97,3.962,0.5137
190968326,IMG014x016.bmp,0.4965,0.2073,141.61,3.899,0.4922
190968326,IMG007x011.bmp,0.5252,0.1969,130.82,3.948,0.4927
190968326,IMG001x004.bmp,0.5262,0.1939,121.54,3.951,0.4876
190968326,IMG018x015.bmp,0.5277,0.1944,125.7,3.9198,0.488
190968326,IMG004x016.bmp,0.5911,0.2083,138.69,3.9444,0.513
190968326,IMG017x006.bmp,0.5914,0.2036,130.79,3.9609,0.5088
190968326,IMG010x019.bmp,0.5968,0.1977,129.73,3.9289,0.5055
190968326,IMG008x021.bmp,0.6298,0.1989,133.9,3.8883,0.5118
190968326,IMG004x014.bmp,0.6244,0.2106,137.38,3.9067,0.5172
190968326,IMG006x001.bmp,0.6523,0.1971,121.14,3.9646,0.5145
190968326,IMG018x017.bmp,0.5279,0.186,118.47,3.9205,0.482
190968326,IMG008x019.bmp,0.6631,0.1888,122.81,3.9121,0.5115
250917371,IMG003x017.bmp,0.6771,0.1875,113.2,4.0343,0.5172
250917371,IMG003x012.bmp,0.7405,0.1677,98.06,3.9694,0.5121
250917371,IMG011x015.bmp,0.7475,0.1784,102.59,4.0079,0.5215
250917371,IMG003x014.bmp,0.7059,0.1836,108.88,4.0157,0.5184
250917371,IMG011x004.bmp,0.6691,0.1968,115.12,4.0555,0.5208
250917371,IMG010x015.bmp,0.7567,0.1777,101.12,3.9627,0.5194
250917371,IMG008x010.bmp,0.7332,0.1549,81.91,3.9575,0.4979
250917371,IMG002x005.bmp,0.7214,0.1722,101.1,3.9493,0.5098
250917371,IMG014x002.bmp,0.5709,0.2023,123.78,4.1642,0.5144
250917371,IMG004x010.bmp,0.6823,0.1687,97.23,4.0269,0.5041
250917371,IMG011x014.bmp,0.7037,0.1801,102.45,4.0344,0.515
250917371,IMG003x005.bmp,0.7425,0.1781,105.24,3.9397,0.5172
250917371,IMG009x007.bmp,0.7082,0.188,105.65,4.0099,0.5182
250917371,IMG011x006.bmp,0.6126,0.2036,118.41,4.0779,0.5147
250917371,IMG006x009.bmp,0.6596,0.1733,96.9,4.0166,0.5001
250917371,IMG002x018.bmp,0.7027,0.1831,111.78,4.0346,0.5203
250917371,IMG002x006.bmp,0.6911,0.1743,102.23,3.9964,0.508
