fov_id,mine_density,mine_rouleaux,mine_crenated,program_density,program_rouleaux,program_crenated
1,monolayer,no rouleaux,False,slightly dense,heavy rouleaux,True
2,monolayer,no rouleaux,False,dense,heavy rouleaux,False
3,monolayer,no rouleaux,False,dense,rouleaux,False
4,monolayer,no rouleaux,False,slightly dense,rouleaux,False
5,monolayer,no rouleaux,False,slightly dense,some rouleaux,False
6,monolayer,no rouleaux,False,slightly dense,heavy rouleaux,False
7,monolayer,no rouleaux,False,slightly dense,some rouleaux,False
8,monolayer,no rouleaux,False,slightly dense,rouleaux,False
9,monolayer,no rouleaux,False,slightly dense,slight rouleaux,False
10,monolayer,no rouleaux,False,monolayer,rouleaux,False
11,monolayer,no rouleaux,False,slightly dense,some rouleaux,False
12,monolayer,slight rouleaux,False,monolayer,rouleaux,False
13,monolayer,no rouleaux,False,monolayer,rouleaux,False
14,monolayer,slight rouleaux,True,slightly dense,heavy rouleaux,False
15,monolayer,slight rouleaux,True,slightly dense,heavy rouleaux,False
16,monolayer,slight rouleaux,True,very dense,rouleaux,False
17,slightly dense,slight rouleaux,True,dense,heavy rouleaux,False
18,slightly dense,slight rouleaux,True,very dense,rouleaux,False
19,monolayer,no rouleaux,False,very dense,rouleaux,True
20,monolayer,no rouleaux,False,very dense,some rouleaux,True
21,monolayer,no rouleaux,False,dense,some rouleaux,False
22,monolayer,no rouleaux,False,dense,some rouleaux,True
23,monolayer,no rouleaux,False,monolayer,some rouleaux,False
24,monolayer,no rouleaux,False,slightly dense,slight rouleaux,False
25,monolayer,no rouleaux,False,slightly dense,slight rouleaux,False
26,monolayer,no rouleaux,False,monolayer,some rouleaux,True
27,monolayer,no rouleaux,False,monolayer,no rouleaux,True
28,monolayer,no rouleaux,False,monolayer,slight rouleaux,False
29,monolayer,no rouleaux,False,monolayer,no rouleaux,False
30,monolayer,no rouleaux,True,monolayer,slight rouleaux,False
31,monolayer,no rouleaux,True,monolayer,rouleaux,False
32,monolayer,slight rouleaux,True,dense,rouleaux,False
33,slightly dense,slight rouleaux,True,dense,some rouleaux,False
34,slightly dense,no rouleaux,False,very dense,some rouleaux,False
35,slightly dense,slight rouleaux,True,very dense,heavy rouleaux,False
36,slightly dense,slight rouleaux,True,very dense,rouleaux,False
37,monolayer,no rouleaux,False,very dense,no rouleaux,True
38,monolayer,no rouleaux,False,very dense,no rouleaux,False
39,monolayer,no rouleaux,False,slightly dense,no rouleaux,False
40,monolayer,no rouleaux,False,slightly dense,no rouleaux,False
41,monolayer,no rouleaux,False,monolayer,slight rouleaux,False
42,monolayer,no rouleaux,False,slightly dense,slight rouleaux,False
43,monolayer,no rouleaux,False,monolayer,no rouleaux,False
44,monolayer,no rouleaux,False,slightly dense,slight rouleaux,False
45,monolayer,no rouleaux,False,slightly dense,no rouleaux,False
46,monolayer,no rouleaux,False,monolayer,no rouleaux,True
47,monolayer,no rouleaux,False,monolayer,slight rouleaux,False
48,monolayer,no rouleaux,True,dense,no rouleaux,False
49,monolayer,slight rouleaux,True,slightly dense,slight rouleaux,False
50,monolayer,no rouleaux,True,dense,slight rouleaux,False
51,monolayer,slight rouleaux,True,dense,some rouleaux,False
52,monolayer,slight rouleaux,True,dense,slight rouleaux,False
53,slightly dense,slight rouleaux,True,very dense,slight rouleaux,False
54,slightly dense,slight rouleaux,True,very dense,slight rouleaux,False
55,monolayer,no rouleaux,False,slightly dense,no rouleaux,True
56,monolayer,no rouleaux,False,slightly dense,no rouleaux,False
57,monolayer,no rouleaux,False,slightly dense,no rouleaux,False
58,monolayer,no rouleaux,False,monolayer,slight rouleaux,False
59,monolayer,no rouleaux,False,monolayer,some rouleaux,False
60,monolayer,no rouleaux,False,slightly dense,no rouleaux,False
61,monolayer,no rouleaux,False,slightly dense,no rouleaux,False
62,monolayer,no rouleaux,False,slightly dense,slight rouleaux,False
63,monolayer,no rouleaux,False,monolayer,no rouleaux,False
64,monolayer,no rouleaux,False,monolayer,no rouleaux,False
65,monolayer,no rouleaux,False,slightly dense,no rouleaux,False
66,monolayer,no rouleaux,False,slightly dense,no rouleaux,False
67,monolayer,no rouleaux,False,slightly dense,no rouleaux,False
68,monolayer,no rouleaux,False,dense,no rouleaux,False
69,monolayer,no rouleaux,False,monolayer,some rouleaux,False
70,monolayer,slight rouleaux,True,slightly dense,slight rouleaux,False
71,monolayer,slight rouleaux,True,dense,no rouleaux,False
72,monolayer,no rouleaux,True,dense,slight rouleaux,False
73,monolayer,no rouleaux,True,monolayer,heavy rouleaux,False
74,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
75,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
76,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
77,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
78,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
79,monolayer,no rouleaux,False,monolayer,some rouleaux,False
80,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
81,monolayer,no rouleaux,False,monolayer,some rouleaux,False
82,monolayer,no rouleaux,False,monolayer,some rouleaux,False
83,monolayer,no rouleaux,False,monolayer,some rouleaux,False
84,monolayer,no rouleaux,False,monolayer,some rouleaux,False
85,monolayer,no rouleaux,False,monolayer,rouleaux,False
86,monolayer,no rouleaux,False,monolayer,rouleaux,False
87,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
88,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
89,monolayer,no rouleaux,True,monolayer,rouleaux,False
90,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
91,monolayer,no rouleaux,False,monolayer,some rouleaux,False
92,monolayer,no rouleaux,False,monolayer,rouleaux,False
93,monolayer,no rouleaux,False,monolayer,slight rouleaux,False
94,monolayer,no rouleaux,False,monolayer,slight rouleaux,False
95,monolayer,no rouleaux,False,monolayer,some rouleaux,False
96,monolayer,no rouleaux,False,monolayer,rouleaux,False
97,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
98,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
99,monolayer,no rouleaux,False,monolayer,heavy rouleaux,True
100,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
101,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
102,monolayer,no rouleaux,False,monolayer,rouleaux,False
103,monolayer,no rouleaux,False,monolayer,some rouleaux,False
104,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
105,monolayer,no rouleaux,False,monolayer,rouleaux,False
106,monolayer,slight rouleaux,True,monolayer,rouleaux,False
107,monolayer,no rouleaux,False,monolayer,rouleaux,False
108,monolayer,no rouleaux,False,monolayer,some rouleaux,False
109,monolayer,no rouleaux,False,monolayer,rouleaux,False
110,slightly dense,some rouleaux,False,monolayer,no rouleaux,False
111,monolayer,no rouleaux,False,monolayer,some rouleaux,False
112,monolayer,no rouleaux,False,monolayer,rouleaux,False
113,monolayer,no rouleaux,False,monolayer,rouleaux,False
114,monolayer,no rouleaux,False,monolayer,some rouleaux,False
115,monolayer,no rouleaux,False,monolayer,some rouleaux,False
116,monolayer,no rouleaux,False,monolayer,no rouleaux,False
117,monolayer,no rouleaux,False,monolayer,no rouleaux,True
118,monolayer,no rouleaux,False,monolayer,slight rouleaux,True
119,monolayer,no rouleaux,False,monolayer,some rouleaux,False
120,monolayer,no rouleaux,False,monolayer,some rouleaux,False
121,monolayer,no rouleaux,False,monolayer,some rouleaux,False
122,monolayer,no rouleaux,False,monolayer,some rouleaux,False
123,monolayer,no rouleaux,False,monolayer,some rouleaux,False
124,monolayer,no rouleaux,False,monolayer,slight rouleaux,False
125,monolayer,no rouleaux,False,monolayer,rouleaux,False
126,monolayer,no rouleaux,False,monolayer,rouleaux,False
127,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
128,monolayer,no rouleaux,False,monolayer,heavy rouleaux,False
