approach,feature,label,marginal_density,partial_density,marginal_overlap,partial_overlap
ai-first,coverage_fraction,Coverage fraction,0.417,0.185,0.408,0.159
ai-first,rouleaux_fraction,Rouleaux fraction,-0.186,-0.095,-0.166,-0.041
ai-first,crenation_fraction,Crenation fraction,0.16,0.196,0.04,-0.122
ai-first,n_cells,N cells,-0.219,-0.052,-0.247,-0.13
ai-first,median_area,Median cell area,-0.099,-0.102,-0.041,0.049
ai-first,area_cv,Cell-area CV,0.34,0.148,0.331,0.123
four-step,coverage,Otsu coverage,0.402,0.192,0.38,0.131
four-step,edge_density_masked,Edge density (masked),-0.286,-0.16,-0.245,-0.049
four-step,edge_density_unmasked,Edge density (unmasked),0.452,0.177,0.465,0.214
four-step,glcm_contrast,GLCM contrast,0.459,0.173,0.479,0.231
four-step,lbp_entropy,LBP entropy,0.334,0.189,0.286,0.058
