fov_id,manual_density,manual_overlap,model_density_label,model_overlap_label,model_density_score,model_overlap_score,fluorescent_present,fluorescent_confidence,fluorescent_contrast_ratio,dpc_path,fluorescent_path
1,monolayer,no rouleaux,slightly dense,slight rouleaux,0.515833025846866,0.4046253502302168,False,0.0,1.6833,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-001-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-001-KTR-72502946.png
2,monolayer,no rouleaux,slightly dense,slight rouleaux,0.4707677345076382,0.3587163269225414,False,0.0,1.691,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-002-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-002-KTR-72502946.png
3,monolayer,no rouleaux,slightly dense,no rouleaux,0.4609861819440485,0.3509837296714569,False,0.0759,2.396,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-003-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-003-KTR-72502946.png
4,monolayer,no rouleaux,monolayer,no rouleaux,0.44238961379345665,0.3328130552772121,False,0.0,1.4604,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-004-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-004-KTR-72502946.png
5,monolayer,no rouleaux,monolayer,no rouleaux,0.44751929147314595,0.3394914217253899,False,0.0,1.4018,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-005-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-005-KTR-72502946.png
6,monolayer,no rouleaux,slightly dense,no rouleaux,0.45918365813314677,0.34806369296886236,False,0.0,1.3845,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-006-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-006-KTR-72502946.png
7,monolayer,no rouleaux,slightly dense,slight rouleaux,0.47124512062632745,0.36024789291792664,False,0.0,1.2756,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-007-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-007-KTR-72502946.png
8,monolayer,no rouleaux,slightly dense,slight rouleaux,0.48756050757380065,0.3756060602283842,False,0.0,1.2563,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-008-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-008-KTR-72502946.png
9,monolayer,no rouleaux,slightly dense,slight rouleaux,0.48898384825877217,0.3752801258924422,False,0.0,1.2463,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-009-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-009-KTR-72502946.png
10,monolayer,no rouleaux,slightly dense,slight rouleaux,0.4810082123178843,0.3711823849618642,False,0.0,1.2758,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-010-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-010-KTR-72502946.png
11,monolayer,no rouleaux,slightly dense,no rouleaux,0.45958191393220915,0.34820527648238375,False,0.0,1.2301,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-011-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-011-KTR-72502946.png
12,monolayer,no rouleaux,slightly dense,slight rouleaux,0.4839825478882115,0.3697092370021472,False,0.0,1.2937,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-012-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-012-KTR-72502946.png
13,monolayer,no rouleaux,slightly dense,slight rouleaux,0.4950253604940166,0.38085377901186795,False,0.0,1.2778,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-013-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-013-KTR-72502946.png
14,monolayer,no rouleaux,slightly dense,no rouleaux,0.4667522453480017,0.3553757767249532,False,0.0,1.3364,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-014-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-014-KTR-72502946.png
15,monolayer,no rouleaux,slightly dense,no rouleaux,0.459657794366609,0.3476197170680735,False,0.0,1.8546,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-015-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-015-KTR-72502946.png
16,slightly dense,no rouleaux,slightly dense,slight rouleaux,0.4954068219444294,0.38067423216797813,False,0.0,1.4792,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-016-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-016-KTR-72502946.png
17,slightly dense,no rouleaux,slightly dense,slight rouleaux,0.49457072307586153,0.38272729963667385,False,0.0,1.2667,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-017-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-017-KTR-72502946.png
18,slightly dense,no rouleaux,slightly dense,slight rouleaux,0.4734878001133669,0.3666846533856987,False,0.0,1.4878,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-018-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-018-KTR-72502946.png
19,monolayer,no rouleaux,slightly dense,slight rouleaux,0.48780660796027675,0.37999404182679236,False,0.0,1.4161,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-019-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-019-KTR-72502946.png
20,monolayer,no rouleaux,slightly dense,no rouleaux,0.4620460036290097,0.35183515939725096,False,0.0,1.5611,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-020-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-020-KTR-72502946.png
21,monolayer,no rouleaux,monolayer,no rouleaux,0.4404265254179974,0.3301833976359046,False,0.0,1.4257,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-021-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-021-KTR-72502946.png
22,monolayer,no rouleaux,monolayer,no rouleaux,0.43818302982685475,0.330736120718519,False,0.0,1.5126,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-022-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-022-KTR-72502946.png
23,monolayer,no rouleaux,monolayer,no rouleaux,0.42921021537868786,0.32066461017220416,False,0.0,1.3754,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-023-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-023-KTR-72502946.png
24,monolayer,no rouleaux,slightly dense,slight rouleaux,0.48530956488679144,0.3689178110536166,False,0.0,1.3948,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-024-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-024-KTR-72502946.png
25,monolayer,slight rouleaux,slightly dense,slight rouleaux,0.5231084804428949,0.41242911444870267,False,0.0,1.388,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-025-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-025-KTR-72502946.png
26,monolayer,slight rouleaux,slightly dense,slight rouleaux,0.5023832306682054,0.38612574250906556,False,0.0,1.4078,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-026-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-026-KTR-72502946.png
27,slightly dense,slight rouleaux,slightly dense,slight rouleaux,0.548315719381057,0.43652163531882304,False,0.0,1.3399,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-027-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-027-KTR-72502946.png
28,slightly dense,slight rouleaux,slightly dense,slight rouleaux,0.5301259538309114,0.41327892330111665,False,0.0,1.2375,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-028-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-028-KTR-72502946.png
29,slightly dense,slight rouleaux,slightly dense,slight rouleaux,0.47862914847889815,0.36494509408098413,False,0.0,1.2348,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-029-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-029-KTR-72502946.png
30,slightly dense,slight rouleaux,slightly dense,slight rouleaux,0.5093916447273352,0.40171807228431317,False,0.0,1.383,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-030-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-030-KTR-72502946.png
31,slightly dense,slight rouleaux,slightly dense,some rouleaux,0.5613948283405132,0.4421028892918898,False,0.1508,2.6881,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-031-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-031-KTR-72502946.png
32,slightly dense,slight rouleaux,slightly dense,slight rouleaux,0.5230673796761999,0.4042111185343903,False,0.0,1.364,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-032-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-032-KTR-72502946.png
33,slightly dense,some rouleaux,slightly dense,slight rouleaux,0.5333518595304759,0.4186180046757042,False,0.0,1.4732,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-033-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-033-KTR-72502946.png
34,slightly dense,some rouleaux,slightly dense,some rouleaux,0.567829856516981,0.4455085391219897,False,0.0,1.2962,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-034-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-034-KTR-72502946.png
35,slightly dense,some rouleaux,dense,some rouleaux,0.6101593060917914,0.4944765979902516,False,0.0,1.4989,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-035-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-035-KTR-72502946.png
36,slightly dense,some rouleaux,slightly dense,slight rouleaux,0.5458591773047708,0.42959434907961414,False,0.0,1.5163,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-036-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-036-KTR-72502946.png
37,monolayer,no rouleaux,slightly dense,slight rouleaux,0.4978478514418412,0.3908616558508967,False,0.0,1.6611,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-037-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-037-KTR-72502946.png
38,monolayer,no rouleaux,slightly dense,no rouleaux,0.4626631750925406,0.3551926442345891,False,0.0,1.7934,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-038-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-038-KTR-72502946.png
39,monolayer,no rouleaux,monolayer,no rouleaux,0.4408119868761029,0.334429270381823,False,0.0,1.6854,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-039-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-039-KTR-72502946.png
40,monolayer,no rouleaux,monolayer,no rouleaux,0.44046470261628556,0.3342894917439357,False,0.0,1.5245,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/dpc-040-KTR-72502946.png,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-040-KTR-72502946.png
