bucket,file,sample_id,fov_id,country,anisotropy,area_fraction,baseline,blob_uri,confidence,contrast_ratio,diffuse_centroid_x,diffuse_centroid_y,diffuse_circularity,diffuse_halo_flag,diffuse_radius,gcs_fetch_s,neighbor_fetch_s,notes,peak,predicted_spot_base,predicted_spot_folded,present_base,present_folded,solidity,spot_truth,tags,time_anisotropy_s,time_diffuse_fov_s,time_initial_test_s
A_rescued,LB-D11-2025-12-19-111309-0211715-VFPCHC-3-1__fov277__preview.png,LB-D11-2025-12-19-111309-0211715-VFPCHC-3-1,277,Liberia,0.0,0.5277,84.8345,gs://liberia-2025/rawData4SS/LB25-D11/2025-12-19/2025-12-19-111309-0211715-(VFPCHC)+3.1_Blue/Images/IMG016x007.bmp,0.166,2.7474,0.3505,0.4856,0.3643,True,176.2,1.356,2.3441,background,233.0772,False,True,False,True,0.9951,yes,Overexposed,0.0,0.0021,0.0474
A_rescued,LB-D11-2025-12-19-131014-0241591-VFPCHC-3-2__fov278__preview.png,LB-D11-2025-12-19-131014-0241591-VFPCHC-3-2,278,Liberia,0.0,0.4613,102.9156,gs://liberia-2025/rawData4SS/LB25-D11/2025-12-19/2025-12-19-131014-0241591-(VFPCHC)-+3.2_Blue/Images/IMG016x008.bmp,0.0846,2.4301,0.3775,0.3101,0.5808,True,161.94,1.0767,2.1173,background,250.0932,False,True,False,True,0.957,yes,Overexposed,0.0,0.002,0.0577
C_fp_baseline,LB-D3-2025-08-30-103102-250876706-D-thin-4__fov257__preview.png,LB-D3-2025-08-30-103102-250876706-D-thin-4,257,Liberia,0.1267,0.1549,49.6875,gs://liberia-2025/rawData4SS/LB25-D3/2025-08-30/2025-08-30-103102-250876706-(D-thin).4_Blue/Images/IMG015x005.bmp,0.3744,3.5603,0.2023,0.1752,0.556,False,89.43,0.8706,0.0,background,176.9045,True,True,True,True,0.9461,no,"Sparser, Crenated, Overexposed, Unfocused",0.0213,0.0024,0.0589
C_fp_baseline,LB-D3-2025-08-30-103102-250876706-D-thin-4__fov274__preview.png,LB-D3-2025-08-30-103102-250876706-D-thin-4,274,Liberia,0.2176,0.1119,35.0829,gs://liberia-2025/rawData4SS/LB25-D3/2025-08-30/2025-08-30-103102-250876706-(D-thin).4_Blue/Images/IMG016x004.bmp,1.0,6.4896,0.4607,0.1343,0.4448,False,114.45,0.7573,0.0,background,227.6757,True,True,True,True,0.9783,no,"Sparser, Crenated, Overexposed",0.0086,0.0022,0.0633
C_fp_baseline,LB-D3-2025-08-30-103102-250876706-D-thin-4__fov289__preview.png,LB-D3-2025-08-30-103102-250876706-D-thin-4,289,Liberia,0.1001,0.3465,38.9668,gs://liberia-2025/rawData4SS/LB25-D3/2025-08-30/2025-08-30-103102-250876706-(D-thin).4_Blue/Images/IMG017x001.bmp,0.7753,5.1237,0.5311,0.631,0.482,False,145.01,0.9469,0.0,background,199.6556,True,True,True,True,0.7688,no,"Sparser, Crenated, Overexposed, Unfocused",0.0503,0.0027,0.0568
A_rescued,LB-D3-2025-10-22-132316-2411189646-D-thin-1-4__fov135__preview.png,LB-D3-2025-10-22-132316-2411189646-D-thin-1-4,135,Liberia,0.0,0.6144,49.1913,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-22/2025-10-22-132316-2411189646-(D-thin)-1+.4_Blue/Images/IMG008x009.bmp,0.1248,2.5868,0.3557,0.3539,0.8459,True,155.69,1.2628,2.2786,diffuse,127.2476,False,True,False,True,0.9829,yes,Overexposed,0.0,0.0024,0.0706
A_rescued,LB-D3-2025-10-22-140622-250917738-D-thin-1-1__fov122__preview.png,LB-D3-2025-10-22-140622-250917738-D-thin-1-1,122,Liberia,0.0,0.8153,92.7613,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-22/2025-10-22-140622-250917738-(D-thin)-1+.1_Blue/Images/IMG007x014.bmp,0.1659,2.747,0.5742,0.4815,0.7711,True,205.71,0.9773,2.5157,double,254.8111,False,True,False,True,0.9966,yes,Overexposed,0.0,0.0023,0.0583
A_rescued,LB-D3-2025-10-24-132012-25046898-D-thin-1-4__fov3__preview.png,LB-D3-2025-10-24-132012-25046898-D-thin-1-4,3,Liberia,0.0,0.6463,48.4933,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-24/2025-10-24-132012-25046898-(D-thin)-1+.4_Blue/Images/IMG001x003.bmp,0.0888,2.4465,0.352,0.7199,0.8054,True,129.44,1.2375,2.2518,diffuse,118.6381,False,True,False,True,0.7575,yes,Overexposed,0.0,0.002,0.0556
B_still_missed,LB-D3-2025-10-24-162727-230918080-D-thin-1-4__fov8__preview.png,LB-D3-2025-10-24-162727-230918080-D-thin-1-4,8,Liberia,0.0,0.7878,54.2191,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-24/2025-10-24-162727-230918080-(D-thin)-1+.4_Blue/Images/IMG001x008.bmp,0.0,1.9784,0.4753,0.073,0.2427,False,81.2,1.1332,0.0,diffuse,107.2687,False,False,False,False,0.9217,yes,Overexposed,0.0,0.0018,0.134
A_rescued,LB-D3-2025-10-27-154305-250917412-D-thin-1-4__fov119__preview.png,LB-D3-2025-10-27-154305-250917412-D-thin-1-4,119,Liberia,0.0,0.4434,28.8349,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-27/2025-10-27-154305-250917412-(D-thin)-1+.4_Blue/Images/IMG007x011.bmp,0.2067,2.9063,0.4861,0.1114,0.5995,True,84.85,1.1436,2.3977,diffuse,83.803,False,True,False,True,0.9919,yes,Overexposed,0.0,0.0018,0.0537
C_fp_baseline,PAT-072-1__fov14__preview.png,PAT-072-1,14,Uganda,0.1956,0.0747,24.0213,gs://malaria-annotation-web/samples/PAT-072-1/data/fluorescent-014-PAT-072-1.png,0.27,3.153,0.2727,0.0909,0.8383,False,33.97,0.8232,0.0,artifact,75.7392,True,True,True,True,0.9917,no,"Overexposed, Artifact",0.0095,0.0022,0.0411
C_fp_baseline,PAT-072-1__fov94__preview.png,PAT-072-1,94,Uganda,0.2648,0.3811,14.534,gs://malaria-annotation-web/samples/PAT-072-1/data/fluorescent-094-PAT-072-1.png,0.9769,5.91,0.2805,0.8302,0.4442,False,58.54,0.8968,0.0,artifact,85.8964,True,True,True,True,0.7854,no,"Sparser, Some Rouleaux, Overexposed, Artifact",0.0357,0.0028,0.0363
