sample_id,fov_id,country,anisotropy,area_fraction,baseline,blob_uri,confidence,contrast_ratio,diffuse_centroid_x,diffuse_centroid_y,diffuse_circularity,diffuse_halo_flag,diffuse_radius,gcs_fetch_s,neighbor_fetch_s,notes,peak,predicted_spot_base,predicted_spot_folded,present_base,present_folded,solidity,spot_truth,tags,time_anisotropy_s,time_diffuse_fov_s,time_initial_test_s
LB-D10-2025-12-29-150312-0171084-VFPCHC-2-4,153,Liberia,0.1213,0.233,17.0972,gs://liberia-2025/rawData4SS/LB25-D10/2025-12-29/2025-12-29-150312-0171084-(VFPCHC)-+2.4_Blue/Images/IMG009x009.bmp,1.0,6.3644,0.1713,0.2563,0.7013,False,98.25,14.0097,0.0,,108.8132,True,True,True,True,0.9974,yes,Overexposed,0.0123,0.0022,0.0512
LB-D10-2025-12-29-150312-0171084-VFPCHC-2-4,154,Liberia,0.0969,0.4627,18.7458,gs://liberia-2025/rawData4SS/LB25-D10/2025-12-29/2025-12-29-150312-0171084-(VFPCHC)-+2.4_Blue/Images/IMG009x010.bmp,0.3971,3.6485,0.7321,0.268,0.8264,False,105.0,1.3379,0.0,,68.394,True,True,True,True,0.9945,yes,"Slightly Dense, Rouleaux, Overexposed",0.0212,0.0022,0.0537
LB-D10-2025-12-30-083614-0250901VFPCHC-2-1,210,Liberia,0.1408,0.2704,13.4538,gs://liberia-2025/rawData4SS/LB25-D10/2025-12-30/2025-12-30-083614-0250901(VFPCHC)+2.1_Blue/Images/IMG012x012.bmp,1.0,17.3467,0.303,0.2765,0.7737,False,134.26,1.376,0.0,,233.3786,True,True,True,True,0.9973,yes,Overexposed,0.0127,0.0021,0.0567
LB-D10-2025-12-30-083614-0250901VFPCHC-2-1,227,Liberia,0.0989,0.3263,14.3611,gs://liberia-2025/rawData4SS/LB25-D10/2025-12-30/2025-12-30-083614-0250901(VFPCHC)+2.1_Blue/Images/IMG013x011.bmp,1.0,11.4525,0.6541,0.2575,0.8047,False,135.05,1.2439,0.0,,164.4702,True,True,True,True,0.9953,yes,Overexposed,0.0164,0.0027,0.0527
LB-D10-2025-12-30-084453-0250071VFPCHC-2-2,200,Liberia,0.1314,0.4532,12.401,gs://liberia-2025/rawData4SS/LB25-D10/2025-12-30/2025-12-30-084453-0250071(VFPCHC)+2.2_Blue/Images/IMG012x002.bmp,1.0,7.9515,0.4798,0.3168,0.8719,False,139.34,1.5098,0.0,,98.6062,True,True,True,True,0.9936,yes,"Rouleaux, Overexposed",0.0361,0.0023,0.0592
LB-D11-2025-12-17-115859-0250319D-thin-4-1,29,Liberia,0.0,0.4478,91.8189,gs://liberia-2025/rawData4SS/LB25-D11/2025-12-17/2025-12-17-115859-0250319(D-thin)-+4.1_Blue/Images/IMG002x011.bmp,0.0,1.8418,0.4428,0.1517,0.3401,False,113.27,1.9503,3.4523,background,169.1096,False,False,False,False,0.6167,no,Overexposed,0.0,0.0029,0.0558
LB-D11-2025-12-19-111309-0211715-VFPCHC-3-1,277,Liberia,0.0,0.5277,84.8345,gs://liberia-2025/rawData4SS/LB25-D11/2025-12-19/2025-12-19-111309-0211715-(VFPCHC)+3.1_Blue/Images/IMG016x007.bmp,0.166,2.7474,0.3505,0.4856,0.3643,True,176.2,2.2825,3.3588,background,233.0772,False,True,False,True,0.9951,yes,Overexposed,0.0,0.0021,0.0532
LB-D11-2025-12-19-131014-0241591-VFPCHC-3-2,278,Liberia,0.0,0.4613,102.9156,gs://liberia-2025/rawData4SS/LB25-D11/2025-12-19/2025-12-19-131014-0241591-(VFPCHC)-+3.2_Blue/Images/IMG016x008.bmp,0.0846,2.4301,0.3775,0.3101,0.5808,True,161.94,1.8582,3.0643,background,250.0932,False,True,False,True,0.957,yes,Overexposed,0.0,0.0021,0.0565
LB-D11-2025-12-19-134126-025073-VFPCHC-3-1,1,Liberia,0.0,0.7277,185.0585,gs://liberia-2025/rawData4SS/LB25-D11/2025-12-19/2025-12-19-134126-025073-(VFPCHC)-+3.1_Blue/Images/IMG001x001.bmp,0.0,1.3582,0.4401,0.3929,0.1799,True,162.57,1.6186,0.0,background,251.3416,False,True,False,True,1.0,no,Overexposed,0.0,0.0023,0.05
LB-D3-2025-08-30-103102-250876706-D-thin-4,257,Liberia,0.1267,0.1549,49.6875,gs://liberia-2025/rawData4SS/LB25-D3/2025-08-30/2025-08-30-103102-250876706-(D-thin).4_Blue/Images/IMG015x005.bmp,0.3744,3.5603,0.2023,0.1752,0.556,False,89.43,1.5743,0.0,background,176.9045,True,True,True,True,0.9461,no,"Sparser, Crenated, Overexposed, Unfocused",0.0154,0.0023,0.0532
LB-D3-2025-08-30-103102-250876706-D-thin-4,269,Liberia,0.0,0.3366,68.509,gs://liberia-2025/rawData4SS/LB25-D3/2025-08-30/2025-08-30-103102-250876706-(D-thin).4_Blue/Images/IMG015x017.bmp,0.0137,2.1533,0.19,0.1577,0.5374,True,82.32,1.3516,3.1276,background,147.5211,False,True,False,True,0.6593,no,"Sparser, Overexposed, Unfocused",0.0,0.0019,0.0558
LB-D3-2025-08-30-103102-250876706-D-thin-4,274,Liberia,0.2176,0.1119,35.0829,gs://liberia-2025/rawData4SS/LB25-D3/2025-08-30/2025-08-30-103102-250876706-(D-thin).4_Blue/Images/IMG016x004.bmp,1.0,6.4896,0.4607,0.1343,0.4448,False,114.45,1.6508,0.0,background,227.6757,True,True,True,True,0.9783,no,"Sparser, Crenated, Overexposed",0.0068,0.0021,0.0481
