sample_id,fov_id,country,annotated_focus_level,whole__laplacian_variance,whole__tenengrad,whole__fft_high_freq_ratio,whole__edge_width,whole__coverage_fraction,tl__laplacian_variance,tl__tenengrad,tl__fft_high_freq_ratio,tl__edge_width,tl__coverage_fraction,tr__laplacian_variance,tr__tenengrad,tr__fft_high_freq_ratio,tr__edge_width,tr__coverage_fraction,bl__laplacian_variance,bl__tenengrad,bl__fft_high_freq_ratio,bl__edge_width,bl__coverage_fraction,br__laplacian_variance,br__tenengrad,br__fft_high_freq_ratio,br__edge_width,br__coverage_fraction,laplacian_variance__quadrant_range,tenengrad__quadrant_range,fft_high_freq_ratio__quadrant_range,edge_width__quadrant_range,coverage_fraction__quadrant_range
LB-D3-2025-08-30-103102-250876706-D-thin-4,2,LB,unfocused,338.9038,7166.21,0.2117,0.4579,0.534,326.3195,7338.5869,0.2204,0.4543,0.4937,377.6159,7853.3862,0.2373,0.4571,0.5724,314.1402,6386.9282,0.178,0.4591,0.4963,339.1467,7064.9062,0.2005,0.4609,0.5735,63.4758,1466.458,0.0593,0.0066,0.0797
LB-D3-2025-10-24-144750-250232728-D-thin-4-1,1,LB,unfocused,281.0111,8265.2627,0.1128,0.469,0.6972,293.9694,8194.5742,0.1342,0.4657,0.7316,297.6259,9679.1992,0.121,0.4686,0.689,257.2061,6876.1743,0.0958,0.4695,0.7185,277.1029,8287.4736,0.1052,0.4718,0.6895,40.4197,2803.0249,0.0384,0.0061,0.0426
LB-D3-2025-10-24-144750-250232728-D-thin-4-1,22,LB,unfocused,326.1902,8571.9922,0.1363,0.466,0.6761,343.3979,8823.3379,0.1493,0.4641,0.7037,336.5034,9711.0586,0.1345,0.4656,0.6884,305.1473,7190.459,0.1249,0.4658,0.6886,321.6405,8536.4609,0.1216,0.4684,0.6716,38.2507,2520.5996,0.0277,0.0043,0.0322
LB-D3-2025-10-27-144635-250918691-D-thin-2-2,243,LB,unfocused,266.2331,6316.5625,0.1127,0.4651,0.435,273.9147,6123.543,0.1074,0.4702,0.3752,283.3536,6270.8027,0.1859,0.4439,0.6323,218.736,5517.3003,0.0861,0.4741,0.3055,290.3669,7334.5952,0.1023,0.4716,0.5263,71.6308,1817.2949,0.0999,0.0302,0.3269
LB-D3-2025-10-27-145205-250917002-D-thin-3-3,245,LB,unfocused,247.8504,7492.3706,0.1056,0.4641,0.6199,259.5764,7191.7964,0.1201,0.4623,0.4692,269.0017,9277.5693,0.1133,0.465,0.582,225.2627,5910.5342,0.095,0.4649,0.6606,239.2826,7566.8262,0.1016,0.4638,0.6725,43.739,3367.0352,0.0251,0.0027,0.2033
LB-D10-2025-12-29-150312-0171084-VFPCHC-2-4,132,LB,unfocused,250.6387,6680.0386,0.1042,0.4734,0.5485,235.6817,6345.4507,0.1004,0.4703,0.5092,294.1399,7210.1953,0.1192,0.4734,0.5851,214.2089,5676.9912,0.0704,0.4727,0.5478,260.1135,7467.8735,0.0871,0.4763,0.5791,79.931,1790.8823,0.0488,0.006,0.0759
LB-D3-2025-10-03-104211-250917371-D-thin-2-3,12,LB,unfocused,202.9589,6172.1777,0.1,0.4639,0.6616,183.4748,5588.8516,0.0989,0.4616,0.7201,208.5825,7342.2539,0.1094,0.4636,0.6816,197.8459,5154.9551,0.1014,0.4637,0.4145,223.4299,6583.6064,0.1182,0.4663,0.666,39.9552,2187.2988,0.0193,0.0047,0.3056
LB-D3-2025-10-03-122127-250912792D-thin-3-4,15,LB,unfocused,260.7803,7190.1743,0.1366,0.4651,0.5273,271.4805,7737.6729,0.1402,0.4631,0.4154,338.7595,9278.2988,0.1802,0.4618,0.6655,175.2438,4427.7466,0.0945,0.469,0.3546,259.4551,7294.3931,0.1353,0.4686,0.6697,163.5157,4850.5522,0.0857,0.0072,0.3151
LB-D3-2025-09-04-131645-250917282-D-Only-1-4,88,LB,unfocused,41.1279,305.4589,0.419,0.4496,0.5525,37.0204,274.5326,0.3939,0.4535,0.0053,50.1766,421.7756,0.2682,0.4448,0.994,33.1417,218.2379,0.3991,0.4534,0.004,44.2706,306.5004,0.4291,0.4507,0.9963,17.0349,203.5377,0.1609,0.0087,0.9923
LB-D3-2025-09-02-141315-25087116-D-Only-1-1,48,LB,completely unfocused,35.4349,294.3304,0.1063,0.4997,0.0206,30.49,289.8253,0.0842,0.4961,0.0212,43.2167,421.1097,0.0663,0.5022,0.9709,28.2478,187.2685,0.1044,0.4939,0.0143,39.8524,278.4585,0.1267,0.5014,0.9825,14.9689,233.8412,0.0604,0.0083,0.9681
LB-D3-2025-09-02-142951-250513832-D-Only-1-3,8,LB,completely unfocused,36.5632,144.4249,0.3952,,0.4774,29.9256,117.0882,0.3028,,0.4631,43.401,172.3432,0.5272,,0.2049,29.2582,114.6004,0.1966,,0.5367,43.7156,173.3735,0.473,,0.5996,14.4574,58.7732,0.3306,,0.3947
LB-D3-2025-10-24-151519-250417224-D-thin-1-3,100,LB,completely unfocused,39.2178,153.3221,0.5083,,0.4628,30.6056,117.9022,0.7865,,0.5006,48.1632,189.7671,0.8368,,0.6613,30.8074,118.8075,0.811,,0.3244,47.3447,186.4886,0.8147,,0.6219,17.5577,71.8649,0.0503,,0.3369
KIT-62500652,6,TZ,unsure,78.0549,3237.7166,0.0938,0.4442,0.1983,67.3279,2854.1047,0.0865,0.4398,0.2024,83.4278,3401.7039,0.0809,0.4488,0.2125,72.1587,3044.3618,0.0947,0.4407,0.1902,90.0429,3641.1125,0.0904,0.447,0.1883,22.715,787.0078,0.0138,0.009,0.0243
KTR-72502948,4,TZ,focused,104.8764,3559.1108,0.1442,0.4283,0.1847,116.558,3937.9167,0.1778,0.4199,0.158,124.3334,4091.7354,0.153,0.4277,0.1609,85.0586,3061.0432,0.1186,0.4289,0.2524,94.3306,3135.5325,0.0974,0.438,0.2497,39.2748,1030.6921,0.0804,0.0181,0.0944
DPSP-1070-AS-1,219,UG,focused,177.101,6970.647,0.1649,0.4097,0.5074,264.1403,9317.1357,0.203,0.4071,0.1149,221.9625,8832.8789,0.1883,0.4049,0.884,140.3725,5838.73,0.1676,0.4086,0.0902,83.1179,3878.1426,0.117,0.4207,0.9061,181.0225,5438.9932,0.086,0.0158,0.8159
PBC-603-1,62,UG,focused,237.2743,12252.6426,0.1104,0.4351,0.5743,307.1301,13219.8262,0.1362,0.4308,0.7511,261.5002,12994.3545,0.1174,0.4305,0.767,235.6947,12809.8496,0.1055,0.4335,0.2499,147.0409,9952.5645,0.0663,0.444,0.7385,160.0892,3267.2617,0.0699,0.0134,0.5171
KIT-62501048,235,TZ,focused,106.9302,3198.8176,0.1863,0.4118,0.1469,116.2632,3661.7034,0.2146,0.3993,0.1517,105.1615,3006.0781,0.1568,0.4211,0.1538,104.8397,3197.384,0.1977,0.4079,0.1478,102.2159,2920.7444,0.1505,0.4212,0.1518,14.0474,740.959,0.0641,0.0219,0.0061
RUB-62501336,235,TZ,focused,111.5169,4117.4316,0.1421,0.4271,0.147,119.2963,4347.0562,0.1624,0.4211,0.1451,118.4931,4304.1836,0.1319,0.4257,0.1417,105.0093,3935.4138,0.1358,0.4275,0.141,104.1949,3870.2913,0.1049,0.4348,0.1536,15.1013,476.7649,0.0576,0.0138,0.0125
KIT-62501056,193,TZ,focused,56.155,1444.5223,0.164,0.4125,0.1178,55.2565,1612.2454,0.152,0.4061,0.0829,53.6381,1364.0352,0.1328,0.4204,0.1295,55.7007,1384.5703,0.1851,0.4064,0.1047,60.3006,1413.9904,0.1474,0.4196,0.158,6.6625,248.2102,0.0523,0.0143,0.0751
KTR-72502723,92,TZ,focused,77.6739,2359.751,0.1475,0.4136,0.1811,72.562,2168.8552,0.1962,0.3969,0.1646,74.726,2172.864,0.1213,0.4242,0.2081,78.9039,2498.7356,0.1584,0.4101,0.1359,84.9949,2592.4338,0.1208,0.4236,0.1841,12.4328,423.5786,0.0754,0.0273,0.0722
